  y      TS     DS     ER
 29.39   1.23   1.00   0.00
 73.47  -3.26   1.00   1.00
 56.33  -0.53   0.00   1.00
 71.02  -1.00   0.00   1.00
 34.29   1.36   1.00   1.00
 63.67   0.00   1.00   1.00
 14.69  -7.34   0.00   0.00
 39.18  -1.00   0.00   0.00
 19.59   0.46   0.00   0.00
 22.04   3.54   0.00   1.00
 71.02  -1.00   1.00   1.00
 19.59   0.00   1.00   1.00
  7.35   0.46   0.00   0.00
 80.82  -7.34   0.00   0.00
 17.14   0.00   0.00   0.00
 24.49   1.23   1.00   0.00
  7.35  -1.00   0.00   0.00
  4.90  -1.00   1.00   0.00
 31.84  -1.00   0.00   1.00
 73.47  -1.00   0.00   0.00
  7.35   0.96   0.00   1.00
 31.84   3.54   0.00   1.00
 66.12  -1.00   0.00   0.00
 53.88  -3.26   1.00   1.00
 24.49   1.36   1.00   1.00
 51.43   0.00   0.00   0.00
  7.35  -0.53   0.00   1.00
  9.80   0.96   0.00   1.00
 12.24  -1.00   1.00   1.00
 31.84  -1.00   0.00   1.00
 44.08   0.00   1.00   1.00
 66.12  -0.53   0.00   1.00
 39.18   0.00   0.00   1.00
 31.84   1.23   1.00   0.00
 17.14   1.23   1.00   0.00
 78.37   0.00   1.00   1.00
 78.37   1.36   1.00   1.00
 75.92  -1.00   0.00   1.00
 73.47  -3.26   1.00   1.00
 26.94   3.54   0.00   1.00
 73.47  -1.00   0.00   0.00
 63.67  -1.00   1.00   1.00
 17.14   1.23   1.00   0.00
  4.90   0.46   0.00   0.00
 46.53  -1.00   0.00   1.00
 51.43  -0.53   0.00   1.00
 63.67  -1.00   0.00   0.00
 14.69   0.00   1.00   0.00
 71.02   1.36   1.00   1.00
 34.29   1.23   1.00   0.00
 19.59   1.00   0.00   1.00
 31.84  -3.26   1.00   1.00
 39.18  -1.00   0.00   1.00
 58.78   1.23   1.00   0.00
  2.45   0.46   0.00   0.00
 14.69   0.46   0.00   0.00
 58.78   0.96   0.00   1.00
 75.92   0.00   1.00   0.00
  4.90  -1.00   0.00   0.00
 78.37  -0.64   1.00   1.00
 71.02   0.00   1.00   1.00
 48.98  -1.00   0.00   0.00
  9.80   0.00   0.00   0.00
 29.39   0.96   0.00   1.00
 53.88  -7.34   0.00   0.00
 19.59   3.54   0.00   1.00
 51.43  -1.00   0.00   0.00
 17.14   1.36   1.00   1.00
 56.33  -0.64   1.00   1.00
  9.80   0.00   0.00   0.00
102.90  -7.34   0.00   0.00
 48.98   1.00   1.00   1.00
 53.88  -3.58   1.00   0.00
 41.63  -3.58   1.00   0.00
 53.88  -1.00   0.00   0.00
 56.33   0.46   0.00   0.00
 17.14   1.36   1.00   1.00
 36.73   0.00   0.00   1.00
 31.84   1.23   1.00   0.00
 44.08   0.00   0.00   1.00
 71.02   0.00   1.00   1.00
 80.82   1.00   1.00   1.00
 41.63   0.96   0.00   1.00
 39.18   0.46   0.00   0.00
 22.04   1.00   1.00   1.00
 17.14   0.00   1.00   1.00
 24.49   1.00   0.00   1.00
 75.92  -1.00   1.00   0.00
  7.35   1.00   0.00   1.00
 66.12  -1.00   1.00   0.00
 17.14   0.00   1.00   0.00
 85.71  -1.00   1.00   0.00
  0.00  -1.00   1.00   0.00
 14.69   1.23   1.00   0.00
 14.69  -1.00   0.00   0.00
 34.29   1.36   1.00   1.00
 14.69  -3.26   1.00   1.00
  9.80  -1.00   0.00   1.00
 26.94   3.54   0.00   1.00
 53.88   1.36   1.00   1.00
  4.90   0.96   0.00   1.00
 78.37  -1.00   1.00   1.00
 22.04   1.00   1.00   1.00
 63.67  -3.26   1.00   1.00
 83.27   1.00   1.00   1.00
 73.47  -7.34   0.00   0.00
 26.94   1.23   1.00   0.00
 29.39  -1.00   0.00   1.00
 14.69   0.00   0.00   1.00
 19.59   1.36   1.00   1.00
 12.24   0.00   0.00   0.00
 22.04  -7.34   0.00   0.00
 26.94   0.00   1.00   0.00
 19.59  -1.00   1.00   1.00
 44.08   0.00   1.00   1.00
 56.33  -0.53   0.00   1.00
 58.78  -1.00   0.00   1.00
 85.71   3.54   0.00   1.00
 44.08  -0.64   1.00   1.00
 14.69  -1.00   0.00   0.00
 31.84  -1.00   0.00   0.00
 46.53   0.00   0.00   1.00
 39.18   1.00   1.00   1.00
  9.80   0.00   1.00   0.00
 68.57  -0.53   0.00   1.00
 78.37  -7.34   0.00   0.00
 22.04   0.96   0.00   1.00
 66.12  -3.26   1.00   1.00
 12.24   0.00   1.00   0.00
 73.47   1.36   1.00   1.00
 17.14   1.23   1.00   0.00
  4.90   0.00   0.00   0.00
 22.04   1.00   0.00   1.00
  0.00   0.46   0.00   0.00
 26.94   1.23   1.00   0.00
 51.43  -7.34   0.00   0.00
 36.73  -0.64   1.00   1.00
 68.57   0.00   1.00   1.00
 19.59   0.46   0.00   0.00
 51.43  -3.26   1.00   1.00
 31.84   1.00   1.00   1.00
 24.49   3.54   0.00   1.00
 63.67  -7.34   0.00   0.00
 51.43  -3.58   1.00   0.00
 36.73   1.00   1.00   1.00
 36.73   1.23   1.00   0.00
 17.14  -3.58   1.00   0.00
 66.12  -0.64   1.00   1.00
 73.47  -1.00   1.00   0.00
 58.78  -0.53   0.00   1.00
 41.63  -1.00   0.00   0.00
 14.69   0.00   0.00   0.00
 71.02   0.00   1.00   1.00
 14.69   1.00   0.00   1.00
 17.14   1.36   1.00   1.00
 61.22  -0.64   1.00   1.00
 75.92  -3.26   1.00   1.00
 14.69  -1.00   1.00   0.00
 26.94   1.00   0.00   1.00
 12.24   3.54   0.00   1.00
 31.84  -0.53   0.00   1.00
 12.24   0.00   0.00   0.00
  7.35   1.23   1.00   0.00
 22.04  -0.64   1.00   1.00
 53.88   0.00   1.00   1.00
 51.43   1.00   1.00   1.00
 53.88  -0.53   0.00   1.00
 66.12   1.36   1.00   1.00
 56.33   0.00   0.00   1.00
 29.39   1.36   1.00   1.00
 26.94   1.23   1.00   0.00
 17.14   0.96   0.00   1.00
 61.22   0.00   1.00   1.00
 22.04   3.54   0.00   1.00
  2.45   1.00   0.00   1.00
 78.37   1.36   1.00   1.00
 31.84  -1.00   0.00   1.00
 51.43  -0.53   0.00   1.00
 12.24   3.54   0.00   1.00
 80.82  -0.64   1.00   1.00
 83.27   1.36   1.00   1.00
 68.57  -1.00   0.00   1.00
  0.00   0.00   0.00   0.00
 19.59   0.00   0.00   1.00
 78.37  -0.64   1.00   1.00
  2.45   0.00   0.00   0.00
 63.67  -1.00   0.00   0.00
  9.80   3.54   0.00   1.00
 39.18   1.00   1.00   1.00
 22.04   1.23   1.00   0.00
 73.47  -7.34   0.00   0.00
 36.73   0.96   0.00   1.00
 75.92   1.36   1.00   1.00
 73.47   1.36   1.00   1.00
 46.53   3.54   0.00   1.00
 17.14   3.54   0.00   1.00
 51.43  -7.34   0.00   0.00
 26.94  -0.53   0.00   1.00
 68.57   0.00   1.00   0.00
 17.14  -7.34   0.00   0.00
 90.61   0.00   1.00   0.00
 14.69   0.96   0.00   1.00
  0.00   0.46   0.00   0.00
 53.88  -3.58   1.00   0.00
 68.57  -3.26   1.00   1.00
 29.39   0.96   0.00   1.00
 31.84   0.00   0.00   0.00
 29.39   0.46   0.00   0.00
 24.49   0.00   1.00   0.00
 24.49   0.46   0.00   0.00
 68.57   1.00   1.00   1.00
 29.39   0.00   0.00   1.00
 22.04   0.46   0.00   0.00
 46.53   1.23   1.00   0.00
 36.73  -1.00   0.00   1.00
 85.71   0.00   1.00   1.00
  9.80   3.54   0.00   1.00
  0.00   0.46   0.00   0.00
 51.43  -7.34   0.00   0.00
 19.59   0.46   0.00   0.00
 53.88  -0.64   1.00   1.00
 48.98  -3.26   1.00   1.00
  4.90   0.96   0.00   1.00
 56.33  -1.00   0.00   0.00
 12.24  -1.00   0.00   1.00
 36.73  -1.00   0.00   0.00
 88.16  -1.00   1.00   1.00
 14.69   1.36   1.00   1.00
 14.69   1.00   0.00   1.00
 19.59   0.00   0.00   1.00
 22.04   0.00   0.00   0.00
 17.14   0.00   0.00   0.00
  9.80   0.46   0.00   0.00
 29.39  -0.53   0.00   1.00
 29.39  -1.00   1.00   0.00
 29.39   0.00   1.00   0.00
 12.24   1.00   1.00   1.00
 22.04  -1.00   0.00   1.00
  4.90   0.96   0.00   1.00
  4.90  -0.53   0.00   1.00
 73.47   0.46   0.00   0.00
 19.59   1.00   1.00   1.00
 14.69   1.23   1.00   0.00
  7.35   0.46   0.00   0.00
 41.63   0.00   1.00   1.00
 39.18   1.23   1.00   0.00
 58.78  -0.53   0.00   1.00
 17.14   0.96   0.00   1.00
  7.35   0.00   1.00   0.00
 51.43  -1.00   1.00   1.00
  7.35  -1.00   1.00   1.00
 14.69   1.23   1.00   0.00
 14.69  -1.00   0.00   0.00
 71.02  -1.00   0.00   0.00
 26.94  -3.58   1.00   0.00
 19.59   0.00   1.00   0.00
 22.04   0.00   0.00   1.00
 24.49   0.00   0.00   0.00
 17.14   1.36   1.00   1.00
 51.43  -7.34   0.00   0.00
 48.98  -1.00   1.00   0.00
 68.57  -3.26   1.00   1.00
 22.04   0.00   1.00   0.00
  2.45   1.23   1.00   0.00
 68.57   0.00   0.00   1.00
 29.39  -3.26   1.00   1.00
 22.04   0.96   0.00   1.00
 75.92   1.36   1.00   1.00
 48.98   1.36   1.00   1.00
 63.67  -1.00   1.00   1.00
 36.73   0.00   0.00   1.00
 29.39  -1.00   0.00   1.00
 29.39   0.96   0.00   1.00
 53.88   0.00   0.00   1.00
 41.63   0.00   0.00   1.00
 53.88  -7.34   0.00   0.00
 17.14   0.46   0.00   0.00
 71.02  -7.34   0.00   0.00
 46.53   1.23   1.00   0.00
 66.12  -7.34   0.00   0.00
 75.92   3.54   0.00   1.00
 36.73   3.54   0.00   1.00
 63.67  -1.00   1.00   1.00
 44.08  -0.53   0.00   1.00
 80.82   0.00   1.00   1.00
 12.24   1.00   1.00   1.00
 63.67  -1.00   0.00   0.00
 53.88  -0.64   1.00   1.00
 48.98  -1.00   0.00   1.00
 78.37  -1.00   0.00   0.00
 66.12  -0.53   0.00   1.00
  9.80   1.23   1.00   0.00
 17.14   0.00   1.00   0.00
  4.90   1.00   0.00   1.00
  7.35   0.96   0.00   1.00
  9.80  -0.53   0.00   1.00
 46.53   1.00   1.00   1.00
 83.27   0.46   0.00   0.00
 48.98  -3.58   1.00   0.00
  9.80  -3.58   1.00   0.00
 66.12   1.36   1.00   1.00
 56.33  -1.00   0.00   1.00
  4.90   0.00   0.00   0.00
 14.69   0.46   0.00   0.00
 19.59   0.00   0.00   0.00
 31.84   3.54   0.00   1.00
 93.06  -3.58   1.00   0.00
 26.94   0.00   0.00   1.00
 78.37  -1.00   0.00   0.00
 14.69  -0.53   0.00   1.00
 68.57   0.96   0.00   1.00
 22.04   0.46   0.00   0.00
 66.12  -0.64   1.00   1.00
 48.98  -1.00   0.00   0.00
 31.84   3.54   0.00   1.00
 66.12   1.00   0.00   1.00
 36.73   1.36   1.00   1.00
 63.67  -1.00   1.00   0.00
 14.69   0.00   1.00   0.00
 34.29   3.54   0.00   1.00
 31.84   0.46   0.00   0.00
 19.59   0.00   0.00   1.00
 41.63  -1.00   1.00   1.00
 75.92  -3.58   1.00   0.00
 26.94  -3.58   1.00   0.00
 85.71   1.00   1.00   1.00
 26.94   3.54   0.00   1.00
 22.04   1.00   0.00   1.00
 61.22   0.00   1.00   1.00
 26.94   1.00   1.00   1.00
 44.08   0.00   1.00   1.00
 39.18   3.54   0.00   1.00
 34.29  -7.34   0.00   0.00
 53.88  -3.26   1.00   1.00
 26.94   1.23   1.00   0.00
 14.69  -7.34   0.00   0.00
 12.24  -1.00   1.00   1.00
 53.88   0.96   0.00   1.00
 41.63  -3.26   1.00   1.00
 58.78  -3.26   1.00   1.00
 14.69   1.00   0.00   1.00
 36.73  -3.58   1.00   0.00
 73.47   0.96   0.00   1.00
 12.24  -3.58   1.00   0.00
 80.82  -1.00   0.00   0.00
 29.39   0.46   0.00   0.00
 26.94   3.54   0.00   1.00
 83.27   1.36   1.00   1.00
115.10  -0.64   1.00   1.00
 46.53  -3.58   1.00   0.00
 56.33  -1.00   1.00   1.00
 66.12  -1.00   0.00   0.00
 66.12  -1.00   1.00   0.00
 12.24   1.00   0.00   1.00
  9.80   0.00   1.00   0.00
 26.94  -1.00   0.00   0.00
 19.59   0.46   0.00   0.00
 66.12   1.36   1.00   1.00
 29.39   3.54   0.00   1.00
 29.39   1.23   1.00   0.00
 68.57   0.00   1.00   1.00
 68.57  -3.58   1.00   0.00
 46.53   0.96   0.00   1.00
 17.14   0.46   0.00   0.00
 24.49   0.00   1.00   0.00
 53.88   1.00   1.00   1.00
 51.43  -0.53   0.00   1.00
 17.14  -1.00   0.00   0.00
 68.57   0.00   1.00   1.00
 14.69   0.00   1.00   0.00
 63.67   0.00   1.00   1.00
 46.53  -0.64   1.00   1.00
 46.53  -7.34   0.00   0.00
 41.63   0.00   1.00   1.00
 53.88  -1.00   0.00   0.00
 36.73   0.00   1.00   0.00
 66.12  -7.34   0.00   0.00
 17.14   0.00   1.00   0.00
 14.69   1.00   0.00   1.00
 12.24   0.46   0.00   0.00
 29.39   0.46   0.00   0.00
  9.80   0.46   0.00   0.00
 48.98   0.00   0.00   0.00
 26.94  -1.00   1.00   1.00
 36.73   1.00   0.00   1.00
 71.02   1.00   1.00   1.00
 48.98  -1.00   0.00   0.00
 56.33  -3.58   1.00   0.00
 90.61   0.00   0.00   1.00
 68.57   1.36   1.00   1.00
 71.02  -1.00   1.00   1.00
 12.24   0.00   0.00   0.00
 71.02  -3.26   1.00   1.00
 19.59   1.00   1.00   1.00
 17.14   0.46   0.00   0.00
 36.73   0.96   0.00   1.00
 56.33  -7.34   0.00   0.00
 90.61   1.36   1.00   1.00
 68.57   1.00   0.00   1.00
 58.78   0.00   0.00   1.00
 39.18  -3.26   1.00   1.00
 58.78  -0.53   0.00   1.00
 22.04  -3.26   1.00   1.00
 56.33  -1.00   0.00   1.00
 14.69  -1.00   0.00   1.00
 61.22  -1.00   1.00   0.00
 66.12  -3.58   1.00   0.00
 58.78   3.54   0.00   1.00
 51.43  -7.34   0.00   0.00
  7.35   1.36   1.00   1.00
 56.33   3.54   0.00   1.00
  4.90   0.96   0.00   1.00
 17.14   0.00   0.00   0.00
 14.69   0.00   0.00   0.00
 34.29  -3.58   1.00   0.00
 41.63  -0.53   0.00   1.00
 63.67  -0.64   1.00   1.00
  2.45   1.36   1.00   1.00
 53.88   0.00   0.00   0.00
 58.78  -3.58   1.00   0.00
 83.27   0.00   0.00   0.00
  7.35  -1.00   1.00   0.00
 46.53   3.54   0.00   1.00
 73.47  -3.58   1.00   0.00
  4.90   0.00   1.00   0.00
 51.43   0.00   1.00   1.00
 78.37   0.00   0.00   1.00
 34.29   3.54   0.00   1.00
 31.84   3.54   0.00   1.00
 53.88  -7.34   0.00   0.00
 17.14  -1.00   0.00   1.00
 22.04   0.00   1.00   0.00
 24.49  -1.00   1.00   1.00
 56.33  -0.53   0.00   1.00
 66.12  -0.64   1.00   1.00
 24.49   1.00   0.00   1.00
 61.22  -7.34   0.00   0.00
 39.18  -3.26   1.00   1.00
 73.47   1.36   1.00   1.00
  9.80  -3.58   1.00   0.00
 48.98  -0.64   1.00   1.00
  7.35   1.23   1.00   0.00
 58.78   1.36   1.00   1.00
 85.71  -3.26   1.00   1.00
 51.43  -3.26   1.00   1.00
 44.08  -3.58   1.00   0.00
 29.39  -0.64   1.00   1.00
 83.27   3.54   0.00   1.00
 24.49   0.96   0.00   1.00
 39.18  -3.58   1.00   0.00
 48.98  -1.00   1.00   0.00
 41.63  -1.00   0.00   1.00
 31.84   0.46   0.00   0.00
  2.45   0.96   0.00   1.00
 17.14   0.00   0.00   1.00
 46.53  -7.34   0.00   0.00
 12.24  -3.58   1.00   0.00
 29.39   0.46   0.00   0.00
 61.22  -3.26   1.00   1.00
 41.63  -1.00   1.00   1.00
 85.71  -3.26   1.00   1.00
  9.80   0.00   0.00   1.00
  2.45   1.00   0.00   1.00
 88.16  -1.00   1.00   0.00
 24.49   0.96   0.00   1.00
 34.29   3.54   0.00   1.00
 41.63   0.00   0.00   1.00
 73.47   1.00   1.00   1.00
 14.69   0.00   1.00   1.00
 36.73  -3.26   1.00   1.00
 12.24  -1.00   0.00   0.00
 19.59  -0.53   0.00   1.00
 22.04   0.96   0.00   1.00
 19.59   0.00   0.00   0.00
  7.35   0.00   0.00   0.00
 34.29  -7.34   0.00   0.00
  9.80   1.00   0.00   1.00
 48.98   1.00   1.00   1.00
 31.84  -3.58   1.00   0.00
 61.22  -0.64   1.00   1.00
  2.45   0.00   1.00   0.00
 95.51  -3.26   1.00   1.00
 22.04  -1.00   1.00   1.00
 19.59   0.96   0.00   1.00
 41.63  -1.00   1.00   0.00
 19.59   3.54   0.00   1.00
 71.02  -7.34   0.00   0.00
 53.88  -1.00   0.00   1.00
 46.53  -1.00   1.00   1.00
 44.08  -3.26   1.00   1.00
 29.39   0.96   0.00   1.00
 36.73   1.00   0.00   1.00
 44.08  -1.00   0.00   1.00
105.30   0.00   1.00   1.00
  2.45   0.00   1.00   0.00
 14.69   0.00   1.00   0.00
  2.45  -7.34   0.00   0.00
 75.92   1.00   1.00   1.00
 31.84   3.54   0.00   1.00
 14.69   0.46   0.00   0.00
 95.51   0.00   1.00   1.00
 51.43   0.00   0.00   1.00
 58.78  -3.58   1.00   0.00
 41.63  -1.00   0.00   1.00
  9.80   0.46   0.00   0.00
 75.92   1.00   0.00   1.00
 12.24  -1.00   1.00   1.00
 17.14   0.00   1.00   0.00
 29.39   0.46   0.00   0.00
 39.18   0.00   0.00   0.00
 56.33  -3.58   1.00   0.00
 88.16  -1.00   1.00   0.00
 22.04  -1.00   0.00   0.00
 31.84  -3.58   1.00   0.00
 53.88  -7.34   0.00   0.00
 75.92   1.36   1.00   1.00
 41.63  -7.34   0.00   0.00
  0.00   0.00   0.00   0.00
 71.02   1.36   1.00   1.00
 44.08   0.96   0.00   1.00
 17.14   0.00   1.00   0.00
 61.22  -1.00   1.00   0.00
 56.33  -3.58   1.00   0.00
 88.16   1.00   0.00   1.00
 80.82   0.00   1.00   1.00
  7.35   0.46   0.00   0.00
 80.82   1.23   1.00   0.00
 51.43  -1.00   0.00   1.00
 36.73   1.36   1.00   1.00
 61.22  -1.00   1.00   1.00
 53.88  -3.58   1.00   0.00
 61.22  -1.00   0.00   1.00
 12.24   0.00   0.00   0.00
 56.33   0.96   0.00   1.00
 22.04  -3.58   1.00   0.00
 90.61   0.00   0.00   0.00
 24.49   1.00   0.00   1.00
 24.49  -1.00   0.00   0.00
 17.14   1.00   1.00   1.00
 39.18  -7.34   0.00   0.00
 17.14   1.00   0.00   1.00
 71.02   0.00   0.00   1.00
 19.59   1.23   1.00   0.00
  9.80   1.00   1.00   1.00
 75.92  -0.64   1.00   1.00
 58.78  -3.26   1.00   1.00
 31.84   0.00   0.00   1.00
 51.43  -1.00   1.00   1.00
 51.43  -1.00   1.00   0.00
 41.63  -3.26   1.00   1.00
 29.39   0.00   0.00   0.00
 66.12  -7.34   0.00   0.00
  2.45   0.00   0.00   0.00
 75.92  -7.34   0.00   0.00
 34.29   1.00   0.00   1.00
 48.98  -3.26   1.00   1.00
  9.80  -1.00   1.00   0.00
 12.24   0.46   0.00   0.00
  7.35   0.00   1.00   0.00
 14.69  -1.00   1.00   1.00
 51.43   1.00   1.00   1.00
 95.51   0.00   1.00   0.00
 51.43   1.36   1.00   1.00
 63.67  -7.34   0.00   0.00
  9.80  -1.00   0.00   0.00
 80.82  -1.00   1.00   0.00
 39.18   1.00   0.00   1.00
 63.67   1.00   1.00   1.00
 51.43  -0.64   1.00   1.00
  7.35   0.00   1.00   0.00
 53.88  -0.64   1.00   1.00
 48.98  -3.58   1.00   0.00
  9.80   1.23   1.00   0.00
 71.02  -3.58   1.00   0.00
 58.78  -0.64   1.00   1.00
 80.82   0.00   0.00   1.00
 66.12  -3.58   1.00   0.00
 85.71  -0.64   1.00   1.00
 12.24  -1.00   1.00   0.00
 46.53   0.00   1.00   0.00
 63.67  -7.34   0.00   0.00
  7.35   0.46   0.00   0.00
  0.00   0.46   0.00   0.00
 53.88   0.00   0.00   1.00
 61.22   0.96   0.00   1.00
 34.29   1.36   1.00   1.00
 48.98  -7.34   0.00   0.00
 17.14  -1.00   0.00   0.00
 39.18   1.00   1.00   1.00
 36.73  -3.58   1.00   0.00
 14.69   0.00   1.00   0.00
 31.84   0.00   0.00   0.00
 73.47   1.00   0.00   1.00
 17.14   0.96   0.00   1.00
 48.98  -1.00   1.00   1.00
 34.29   0.96   0.00   1.00
 26.94  -1.00   0.00   0.00
 53.88  -1.00   0.00   1.00
 17.14   0.46   0.00   0.00
 66.12   1.00   1.00   1.00
 48.98   0.96   0.00   1.00
 78.37  -7.34   0.00   0.00
 56.33  -3.26   1.00   1.00
 48.98  -0.53   0.00   1.00
 26.94  -1.00   0.00   1.00
 73.47   0.00   0.00   1.00
  2.45   1.23   1.00   0.00
 39.18  -0.53   0.00   1.00
 61.22   1.36   1.00   1.00
 68.57   1.00   1.00   1.00
 24.49   0.00   0.00   0.00
 41.63   1.00   1.00   1.00
 85.71  -1.00   1.00   0.00
 12.24  -1.00   0.00   0.00
  4.90  -7.34   0.00   0.00
 51.43  -3.58   1.00   0.00
  9.80  -7.34   0.00   0.00
 12.24  -3.58   1.00   0.00
 29.39  -3.58   1.00   0.00
 58.78   0.00   1.00   1.00
  2.45   0.00   0.00   1.00
 61.22   1.00   1.00   1.00
  7.35  -1.00   0.00   1.00
 14.69   0.96   0.00   1.00
 24.49   1.00   0.00   1.00
 24.49   0.00   0.00   1.00
 85.71  -3.26   1.00   1.00
 56.33   3.54   0.00   1.00
 80.82  -1.00   0.00   0.00
  2.45   0.00   1.00   0.00
 41.63   0.00   1.00   0.00
 29.39   0.46   0.00   0.00
 34.29   0.46   0.00   0.00
 44.08  -1.00   0.00   0.00
 71.02   0.00   1.00   0.00
 39.18   0.00   0.00   1.00
 36.73   1.23   1.00   0.00
 53.88  -1.00   0.00   0.00
 63.67  -3.26   1.00   1.00
 68.57   0.00   0.00   0.00
 75.92   0.00   1.00   1.00
 12.24   0.46   0.00   0.00
 22.04   0.00   0.00   0.00
 44.08   0.96   0.00   1.00
 31.84   1.00   0.00   1.00
 17.14   1.00   0.00   1.00
 73.47  -1.00   0.00   1.00
 73.47  -7.34   0.00   0.00
 19.59   0.46   0.00   0.00
 56.33   0.00   1.00   1.00
 51.43  -1.00   0.00   1.00
 68.57  -0.64   1.00   1.00
 78.37  -3.26   1.00   1.00
 61.22  -1.00   1.00   1.00
  7.35   0.46   0.00   0.00
 51.43  -3.58   1.00   0.00
 24.49  -0.53   0.00   1.00
 14.69  -0.53   0.00   1.00
 75.92   1.00   1.00   1.00
 80.82  -1.00   0.00   1.00
 24.49   0.00   1.00   0.00
 29.39   1.23   1.00   0.00
 17.14   0.96   0.00   1.00
 78.37   1.00   1.00   1.00
 56.33  -3.26   1.00   1.00
 66.12  -7.34   0.00   0.00
 90.61  -3.26   1.00   1.00
 80.82   0.00   0.00   0.00
 53.88  -7.34   0.00   0.00
 88.16   0.00   1.00   1.00
  9.80   0.00   0.00   1.00
 36.73   3.54   0.00   1.00
 48.98  -1.00   1.00   0.00
 66.12   1.00   1.00   1.00
 34.29   1.23   1.00   0.00
 17.14   1.00   0.00   1.00
 36.73   0.96   0.00   1.00
 14.69   1.00   0.00   1.00
 34.29  -0.53   0.00   1.00
 17.14   0.00   1.00   0.00
 17.14   1.00   0.00   1.00
 29.39  -1.00   1.00   0.00
 22.04   0.00   0.00   0.00
 41.63   1.36   1.00   1.00
 24.49   0.46   0.00   0.00
 51.43  -3.58   1.00   0.00
 68.57  -1.00   1.00   1.00
 14.69   1.36   1.00   1.00
 46.53   0.00   1.00   1.00
 61.22   0.00   0.00   1.00
 63.67  -1.00   0.00   0.00
 56.33   0.00   1.00   0.00
 22.04   0.00   0.00   0.00
  4.90   0.00   0.00   1.00
 61.22   1.36   1.00   1.00
 88.16  -7.34   0.00   0.00
 66.12  -1.00   0.00   0.00
 26.94  -0.64   1.00   1.00
 63.67  -1.00   1.00   1.00
 39.18   1.23   1.00   0.00
 12.24  -3.58   1.00   0.00
 61.22   0.00   1.00   1.00
  9.80   1.00   0.00   1.00
 29.39   1.00   1.00   1.00
  9.80   0.00   0.00   0.00
 66.12  -1.00   1.00   1.00
 17.14   0.00   0.00   1.00
 12.24   1.23   1.00   0.00
 93.06  -1.00   0.00   0.00
 17.14  -1.00   1.00   0.00
 22.04  -0.53   0.00   1.00
 73.47   0.00   0.00   1.00
 14.69   0.00   1.00   0.00
 83.27   0.00   1.00   1.00
 44.08   0.00   0.00   1.00
 53.88   1.00   1.00   1.00
 90.61   1.36   1.00   1.00
 14.69   3.54   0.00   1.00
 39.18  -3.26   1.00   1.00
  2.45   0.00   0.00   0.00
 14.69  -7.34   0.00   0.00
  7.35   1.00   0.00   1.00
 17.14   3.54   0.00   1.00
  7.35   1.00   1.00   1.00
 14.69   3.54   0.00   1.00
  7.35   0.46   0.00   0.00
 41.63   1.00   0.00   1.00
 31.84  -1.00   0.00   1.00
 68.57  -3.58   1.00   0.00
 53.88  -0.53   0.00   1.00
 26.94   0.00   1.00   0.00
 53.88   0.00   0.00   0.00
 51.43   0.96   0.00   1.00
 17.14   0.46   0.00   0.00
 44.08   0.46   0.00   0.00
